"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","09/03/2012","20:03:33","","Data truncation: Incorrect datetime value: '09/03/2012 07:00 PM' for column 'gameDate' at row 40"
"ERROR","web-0","09/03/2012","20:04:30","","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '2012-09-03 20:04:30'}'
								  ,teamID1 = (SELECT teamID FROM FootballTeams W' at line 9"
"ERROR","web-0","09/03/2012","20:36:41","","Data truncation: Incorrect datetime value: '09/03/2012 07:00 PM' for column 'gameDate' at row 40"
"ERROR","web-0","09/03/2012","20:39:41","","Data truncation: Incorrect datetime value: '09/03/2012 07:00 PM' for column 'gameDate' at row 40"
"ERROR","web-0","09/03/2012","20:40:07","","Data truncation: Incorrect datetime value: '09/03/2012 19:00:00' for column 'gameDate' at row 40"
"ERROR","web-0","09/03/2012","20:41:53","","Page /rss/gamesScores.cfm [/var/www/ncaaFootball/rss/gamesScores.cfm] not found"
"ERROR","web-0","09/03/2012","20:42:08","","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'IF NOT EXISTS (SELECT * FROM FootballTeams WHERE espnTeamName = 'South Carolina ' at line 1"
"ERROR","web-0","09/03/2012","20:48:20","","Start and End Tag has not the same Name [cfif-cfloop]"
"ERROR","web-0","09/03/2012","20:49:06","","variable [QRYCHECKGAMESFINALSCORES] doesn't exist"
"ERROR","web-0","09/03/2012","20:49:38","","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'FROM
					FootballGames fg
				INNER JOIN FootballTeams ft1
					ON	ft1.pinna' at line 4"
"ERROR","web-0","09/03/2012","20:59:51","","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '] THEN 'T' ELSE 'L' END
				WHERE (ft1.pinnacleteamname = fg.team1name OR ft1.p' at line 3"
"ERROR","web-0","09/03/2012","21:14:34","","Page /ncaaFootball/login/checkLogin.cfm [/var/www/ncaaFootball/ncaaFootball/login/checkLogin.cfm] not found"
"ERROR","web-0","09/03/2012","21:15:12","","key [MAPPATH] doesn't exist in struct (keys:APPMAP,DSN,applicationname,SETTINGS,RSSFEED)"
"ERROR","web-0","09/05/2012","10:01:14","","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '1
								weekNumber + 1 AS weekNumber
							   FROM
								FootballSeason' at line 10"
"ERROR","web-0","09/05/2012","10:09:47","","Page /ncaaFootball/login/checkLogin.cfm [/var/www/ncaaFootball/ncaaFootball/login/checkLogin.cfm] not found"
"ERROR","web-0","09/05/2012","10:14:19","","Page /ncaaFootball/login/checkLogin.cfm [/var/www/ncaaFootball/ncaaFootball/login/checkLogin.cfm] not found"
